timestamp,accelerationX,accelerationY,accelerationZ
20240826200308,0.01,-0.69,-0.73
20240826200310,0.02,-0.69,-0.73
20240826200311,0.01,-0.69,-0.73
20240826200312,0.01,-0.69,-0.73
20240826200314,0.02,-0.69,-0.73
20240826200315,0.02,-0.69,-0.73
20240826200316,0.02,-0.69,-0.73
20240826200317,0.02,-0.69,-0.73
20240826200319,0.01,-0.69,-0.73
20240826200320,0.01,-0.69,-0.73
20240826200321,0.01,-0.69,-0.73
20240826200322,0.02,-0.69,-0.73
20240826200324,0.02,-0.69,-0.73
20240826200325,0.02,-0.69,-0.73
20240826200326,0.02,-0.69,-0.73
20240826200328,0.02,-0.69,-0.73
20240826200329,0.02,-0.69,-0.73
20240826200330,0.02,-0.69,-0.73
20240826200331,0.01,-0.69,-0.73
20240826200332,0.02,-0.69,-0.73
20240826200334,0.02,-0.69,-0.73
20240826200335,0.02,-0.69,-0.73
20240826200336,0.02,-0.69,-0.73
20240826200337,0.02,-0.69,-0.73
20240826200339,0.02,-0.69,-0.73
20240826200340,0.02,-0.69,-0.73
20240826200341,0.02,-0.69,-0.73
20240826200343,0.02,-0.69,-0.73
20240826200344,0.02,-0.69,-0.73
20240826200345,0.02,-0.69,-0.73
20240826200346,0.02,-0.69,-0.73
20240826200348,0.02,-0.69,-0.73
20240826200349,0.02,-0.69,-0.73
20240826200350,0.02,-0.69,-0.73
20240826200351,0.01,-0.69,-0.73
20240826200353,0.02,-0.69,-0.73
20240826200354,0.02,-0.69,-0.73
20240826200355,0.02,-0.69,-0.73
20240826200357,0.02,-0.7,-0.72
20240826200358,0.02,-0.7,-0.72
20240826200359,0.02,-0.7,-0.72
20240826200400,0.02,-0.7,-0.72
20240826200402,0.01,-0.7,-0.72
20240826200403,0.02,-0.7,-0.72
20240826200404,0.02,-0.71,-0.71
20240826200405,0.02,-0.71,-0.71
20240826200407,0.02,-0.71,-0.71
20240826200408,0.02,-0.71,-0.71
20240826200409,0.02,-0.7,-0.71
20240826200410,0.02,-0.71,-0.71
20240826200412,0.02,-0.71,-0.71
20240826200413,0.02,-0.71,-0.71
20240826200414,0.01,-0.7,-0.71
20240826200415,0.02,-0.71,-0.71
20240826200416,0.02,-0.71,-0.71
20240826200418,0.02,-0.71,-0.71
20240826200419,0.02,-0.71,-0.71
20240826200420,0.02,-0.71,-0.71
20240826200421,0.02,-0.71,-0.71
20240826200423,0.02,-0.71,-0.71
20240826200424,0.02,-0.71,-0.71
20240826200425,0.02,-0.7,-0.71
20240826200427,0.02,-0.71,-0.71
20240826200428,0.02,-0.7,-0.71
20240826200429,0.01,-0.71,-0.71
20240826200431,0.02,-0.71,-0.71
20240826200432,0.02,-0.7,-0.71
20240826200433,0.02,-0.7,-0.71
20240826200434,0.02,-0.71,-0.71
20240826200436,0.02,-0.71,-0.71
20240826200437,0.02,-0.71,-0.71
20240826200438,0.02,-0.7,-0.71
20240826200439,0.02,-0.71,-0.71
20240826200441,0.02,-0.71,-0.71
20240826200442,0.02,-0.71,-0.71
20240826200443,0.02,-0.71,-0.71
20240826200444,0.01,-0.71,-0.71
20240826200446,0.02,-0.71,-0.71
20240826200447,0.02,-0.71,-0.71
20240826200448,0.02,-0.71,-0.71
20240826200449,0.01,-0.7,-0.71
20240826200451,0.01,-0.71,-0.71
20240826200452,0.02,-0.71,-0.71
20240826200453,0.02,-0.71,-0.71
20240826200454,0.01,-0.7,-0.71
20240826200456,0.02,-0.7,-0.71
20240826200457,0.01,-0.7,-0.71
20240826200458,0.02,-0.7,-0.71
20240826200459,0.02,-0.71,-0.71
20240826200501,0.02,-0.71,-0.71
20240826200502,0.02,-0.7,-0.71
20240826200503,0.02,-0.7,-0.71
20240826200504,0.02,-0.71,-0.71
20240826200506,0.02,-0.71,-0.71
20240826200507,0.02,-0.71,-0.71
20240826200508,0.02,-0.71,-0.71
20240826200509,0.02,-0.7,-0.71
20240826200511,0.02,-0.7,-0.71
20240826200512,0.02,-0.71,-0.71
20240826200513,0.02,-0.71,-0.71
20240826200514,0.02,-0.7,-0.71
20240826200516,0.02,-0.71,-0.71
20240826200517,0.02,-0.71,-0.71
20240826200518,0.02,-0.71,-0.71
